State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Gujarat,Gandhinagar,"Mansa(Manas Veg Yard)",Cauliflower,Other,FAQ,17/02/2025,800,1000,1000
Gujarat,Gandhinagar,"Mansa(Manas Veg Yard)","Green Chilli",Other,FAQ,17/02/2025,2000,2500,2500
Gujarat,Gandhinagar,"Mansa(Manas Veg Yard)","Surat Beans (Papadi)",Other,FAQ,17/02/2025,1500,2000,1500
Gujarat,"Gir Somnath",Kodinar,Wheat,"Medium Fine",FAQ,17/02/2025,2555,3300,2925
Gujarat,"Gir Somnath",Talalagir,"Bhindi(Ladies Finger)",Other,FAQ,17/02/2025,2000,3000,2500
Gujarat,"Gir Somnath",Talalagir,Brinjal,Other,FAQ,17/02/2025,1000,2500,1500
Gujarat,Junagarh,Bhesan,Groundnut,Other,FAQ,17/02/2025,3500,5150,4500
Gujarat,Junagarh,Junagadh,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,17/02/2025,6000,7800,7000
Gujarat,Junagarh,Junagadh,"Green Gram (Moong)(Whole)","Green (Whole)",FAQ,17/02/2025,6500,8680,7250
Gujarat,Junagarh,Junagadh,Wheat,Sharbati,FAQ,17/02/2025,2900,3190,3050
Gujarat,Junagarh,Kodinar(Dollasa),Cotton,Other,Non-FAQ,17/02/2025,5750,7200,7000
Gujarat,Kachchh,Anjar,"Guar Seed(Cluster Beans Seed)",Other,FAQ,17/02/2025,4650,4650,4650
Gujarat,Kachchh,Bachau,"Sesamum(Sesame,Gingelly,Til)",Black,FAQ,17/02/2025,17000,18000,17500
Gujarat,Kachchh,Rapar,"Castor Seed","Castor seed",FAQ,17/02/2025,6100,6105,6103
Gujarat,Kachchh,Rapar,"Green Gram (Moong)(Whole)",Hybrid,Non-FAQ,17/02/2025,4760,6000,5380
Gujarat,Kachchh,Rapar,Mataki,"Mataki (W)",FAQ,17/02/2025,3955,4905,4430
Gujarat,Kheda,Kapadvanj,Cauliflower,Other,FAQ,17/02/2025,1000,1300,1100
Gujarat,Kheda,Kapadvanj,Onion,Other,FAQ,17/02/2025,2000,2900,2400
Gujarat,Mehsana,Kadi,"Moath Dal","Moath (W)",FAQ,17/02/2025,5455,7650,7200
Gujarat,Mehsana,Kadi,Wheat,Deshi,FAQ,17/02/2025,2750,3460,3150
Gujarat,Mehsana,"Kadi(Kadi cotton Yard)",Cotton,"Shanker 6 (B) 30mm FIne",FAQ,17/02/2025,6505,7350,7150
Gujarat,Mehsana,Mehsana,"Castor Seed","Castor seed",FAQ,17/02/2025,6000,6300,6225
Gujarat,Mehsana,Unava,Cotton,Other,FAQ,17/02/2025,6305,7685,6900
Gujarat,Mehsana,Unjha,"Sesamum(Sesame,Gingelly,Til)",Sesame,Non-FAQ,17/02/2025,8575,10155,9000
Gujarat,Mehsana,Visnagar,Wheat,Other,FAQ,17/02/2025,2750,3530,3140
Gujarat,Morbi,Morbi,"Bitter gourd",Other,FAQ,17/02/2025,3000,3500,3250
Gujarat,Morbi,Morbi,"Bottle gourd","Bottle Gourd",FAQ,17/02/2025,500,1000,750
Gujarat,Morbi,Morbi,Brinjal,Brinjal,FAQ,17/02/2025,1000,1500,1250
Gujarat,Morbi,Morbi,Cabbage,Cabbage,FAQ,17/02/2025,200,400,300
Gujarat,Navsari,Bilimora,Cauliflower,Other,FAQ,17/02/2025,1000,2000,1500
Gujarat,Panchmahals,Godhra(Kakanpur),Paddy(Dhan)(Common),Other,Non-FAQ,17/02/2025,2090,2105,2095
Gujarat,Panchmahals,Godhra(Timbaroad),Paddy(Dhan)(Common),Other,Non-FAQ,17/02/2025,2050,2105,2090
Gujarat,Panchmahals,Gogamba,Maize,"Deshi Red",FAQ,17/02/2025,2600,2800,2700
Gujarat,Panchmahals,Gogamba(Similiya),"Arhar (Tur/Red Gram)(Whole)",Other,FAQ,17/02/2025,7350,8000,7750
Gujarat,Patan,Chansama,Cotton,RCH-2,Non-FAQ,17/02/2025,5875,6350,6113
Gujarat,Patan,Radhanpur,"Bengal Gram(Gram)(Whole)","Desi (Whole)",FAQ,17/02/2025,5430,5545,5475
Gujarat,Patan,Radhanpur,"Guar Seed(Cluster Beans Seed)",Whole,FAQ,17/02/2025,4125,5025,4800
Gujarat,Patan,Radhanpur,Wheat,"Medium Fine",FAQ,17/02/2025,2925,3225,3050
Gujarat,Porbandar,Porbandar,Apple,Apple,Large,17/02/2025,10000,15000,12500
Gujarat,Porbandar,Porbandar,Guar,Gwar,FAQ,17/02/2025,5000,6000,5500
Gujarat,Porbandar,Porbandar,Lemon,Lemon,FAQ,17/02/2025,4000,4500,4250
Gujarat,Porbandar,Porbandar,Tomato,Deshi,Non-FAQ,17/02/2025,300,500,400
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Apple,Apple,Medium,17/02/2025,7500,13000,10250
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Guava,Guava,Medium,17/02/2025,2500,7000,4750
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Tomato,Tomato,FAQ,17/02/2025,100,600,350
Gujarat,Rajkot,Jasdan,"Black Gram (Urd Beans)(Whole)",Other,FAQ,17/02/2025,3500,5750,4750
Gujarat,Rajkot,Jasdan,Jowar(Sorghum),"Jowar ( White)",FAQ,17/02/2025,2500,4750,3750
Gujarat,Rajkot,Jasdan,"Kulthi(Horse Gram)","Horse gram (Whole)",FAQ,17/02/2025,2500,3755,3000
Gujarat,Rajkot,Jasdan,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,17/02/2025,6250,9750,8500
Gujarat,Rajkot,Jasdan,Soyabean,Other,FAQ,17/02/2025,3500,3900,3700
Gujarat,Rajkot,Jetpur(Dist.Rajkot),Groundnut,Bold,FAQ,17/02/2025,3005,5405,5255
Gujarat,Rajkot,Rajkot,"Bengal Gram(Gram)(Whole)","Desi (Whole)",Non-FAQ,17/02/2025,4500,5200,4600
Gujarat,Rajkot,Rajkot,"Castor Seed",Caster,FAQ,17/02/2025,5905,6130,6060
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)",Brinjal,Brinjal,FAQ,17/02/2025,1500,3000,2250
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)",Coriander(Leaves),Coriander,FAQ,17/02/2025,500,750,625
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)",Ginger(Green),"Green Ginger",FAQ,17/02/2025,3000,4000,3500
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)",Onion,Onion,FAQ,17/02/2025,950,2750,2150
Gujarat,Sabarkantha,Bayad(Demai),Wheat,Other,FAQ,17/02/2025,2500,2540,2520
Gujarat,Sabarkantha,Himatnagar,"Arhar (Tur/Red Gram)(Whole)",Local,Non-FAQ,17/02/2025,5500,6775,6200
Gujarat,Sabarkantha,Idar,Groundnut,Other,FAQ,17/02/2025,4750,6783,6783
Gujarat,Sabarkantha,Talod,Soyabean,Black,FAQ,17/02/2025,3500,3945,3722
Gujarat,Sabarkantha,Talod(Harsol),Cotton,RCH-2,FAQ,17/02/2025,7000,7272,7137
Gujarat,Sabarkantha,Vadali,Wheat,Other,FAQ,17/02/2025,3000,3285,3142
Gujarat,Surat,Bardoli(Katod),"Bhindi(Ladies Finger)",Other,FAQ,17/02/2025,1000,1850,1250
Gujarat,Surat,Bardoli(Katod),Brinjal,Other,FAQ,17/02/2025,1250,2200,1650
Gujarat,Surat,Surat,Brinjal,Other,FAQ,17/02/2025,1500,3000,2250
Gujarat,Surat,Surat,"Little gourd (Kundru)",Other,FAQ,17/02/2025,4000,8000,6000
Gujarat,Surat,Surat,"Mango (Raw-Ripe)",Other,FAQ,17/02/2025,5000,6000,5500
Gujarat,Surendranagar,Dhragradhra,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)",FAQ,17/02/2025,6560,6950,6800
Gujarat,Surendranagar,Dhragradhra,Mustard,Sarson(Black),FAQ,17/02/2025,6000,6380,6250
Gujarat,Surendranagar,Vadhvan,"Bhindi(Ladies Finger)",Bhindi,FAQ,17/02/2025,4000,4500,4250
Gujarat,Surendranagar,Vadhvan,"Bitter gourd","Bitter Gourd",FAQ,17/02/2025,4500,5000,4750
Gujarat,Surendranagar,Vadhvan,Guar,Gwar,FAQ,17/02/2025,10000,10500,10250
Gujarat,Surendranagar,Vadhvan,Ridgeguard(Tori),Ridgeguard(Tori),FAQ,17/02/2025,3000,3500,3250
Gujarat,Vadodara(Baroda),Padra,Drumstick,Other,FAQ,17/02/2025,2000,4000,3000
Gujarat,Vadodara(Baroda),Padra,Ginger(Green),Other,FAQ,17/02/2025,2500,2750,2625
Gujarat,Vadodara(Baroda),Padra,Onion,Other,FAQ,17/02/2025,2500,3250,2900
Gujarat,Vadodara(Baroda),Padra,"Pegeon Pea (Arhar Fali)",Other,FAQ,17/02/2025,3000,3750,3400
Gujarat,Vadodara(Baroda),Padra,"Surat Beans (Papadi)",Other,FAQ,17/02/2025,2500,3250,2900
Haryana,Ambala,"Ambala City","Green Fodder","Green Fodder",FAQ,17/02/2025,260,300,280
Haryana,Ambala,"Ambala City(Subji Mandi)",Potato,Other,FAQ,17/02/2025,200,300,250
Haryana,Ambala,Barara,Banana,Other,Medium,17/02/2025,2200,2500,2300
Haryana,Ambala,Barara,"Bitter gourd",Other,FAQ,17/02/2025,1200,1200,1200
Haryana,Ambala,Barara,Capsicum,Other,FAQ,17/02/2025,1500,1500,1500
Haryana,Ambala,Barara,Kinnow,Other,Medium,17/02/2025,2000,2500,2000
Haryana,Ambala,Barara,Onion,Other,Non-FAQ,17/02/2025,1400,2000,1500
Haryana,Ambala,Barara,Pumpkin,Other,FAQ,17/02/2025,600,700,600
Haryana,Ambala,Naraingarh,"Bottle gourd","Bottle Gourd",FAQ,17/02/2025,1000,2000,1200
Haryana,Ambala,Naraingarh,Ginger(Dry),Other,FAQ,17/02/2025,2000,4200,3000
Haryana,Ambala,Naraingarh,Kinnow,Kinnow,Medium,17/02/2025,1600,3000,2800
Haryana,Ambala,Naraingarh,Onion,Onion,FAQ,17/02/2025,2200,2500,2400
Haryana,Ambala,Naraingarh,Spinach,Spinach,FAQ,17/02/2025,300,1000,700
Haryana,Ambala,Shahzadpur,"Green Peas","Green Peas",FAQ,17/02/2025,1500,2200,2000
Haryana,Ambala,Shahzadpur,Tomato,Local,FAQ,17/02/2025,500,1100,1000
Haryana,Ambala,Shahzadpur,Toria,Toria,FAQ,17/02/2025,5625,5625,5625
Haryana,Bhiwani,Loharu,Banana,Other,Large,17/02/2025,2500,3500,3000
Haryana,Faridabad,Ballabhgarh,Cabbage,Other,FAQ,17/02/2025,400,600,500
Haryana,Faridabad,Ballabhgarh,Tomato,Other,FAQ,17/02/2025,800,1000,900
Haryana,Fatehabad,Ratia,Banana,Other,Large,17/02/2025,3000,3000,3000
Haryana,Fatehabad,Ratia,Carrot,Other,FAQ,17/02/2025,500,700,600
Haryana,Fatehabad,Ratia,Grapes,Other,Large,17/02/2025,3000,6000,4500
Haryana,Fatehabad,Ratia,Potato,Other,FAQ,17/02/2025,500,700,600
Haryana,Fatehabad,Ratia,Tomato,Other,FAQ,17/02/2025,800,1100,950
Haryana,Gurgaon,"Farukh Nagar",Tomato,Other,FAQ,17/02/2025,900,1400,900
Haryana,Gurgaon,Gurgaon,Carrot,Other,FAQ,17/02/2025,600,1000,800
Haryana,Gurgaon,Gurgaon,Tomato,Other,FAQ,17/02/2025,800,1000,900
Haryana,Gurgaon,Pataudi,Apple,Other,Large,17/02/2025,4500,9000,7500
Haryana,Gurgaon,Pataudi,Tomato,Other,FAQ,17/02/2025,800,900,850
Haryana,Gurgaon,Sohna,Cucumbar(Kheera),Cucumbar,FAQ,17/02/2025,1500,2500,1800
Haryana,Gurgaon,Sohna,"Green Chilli","Green Chilly",FAQ,17/02/2025,3000,4000,4000
Haryana,Hissar,Hissar,Carrot,Other,FAQ,17/02/2025,400,500,500
Haryana,Hissar,Hissar,Kinnow,Other,Medium,17/02/2025,1400,3000,2500
Haryana,Hissar,Uklana,Cabbage,Cabbage,FAQ,17/02/2025,500,600,600
Haryana,Hissar,Uklana,Kinnow,Kinnow,Medium,17/02/2025,1800,1800,1800
Haryana,Hissar,Uklana,Spinach,Spinach,FAQ,17/02/2025,500,500,500
Haryana,Jhajar,Bahadurgarh,Carrot,Other,FAQ,17/02/2025,600,700,650
Haryana,Jhajar,Bahadurgarh,Ginger(Green),Other,FAQ,17/02/2025,5000,6000,5500
Haryana,Jhajar,Bahadurgarh,"Peas cod",Other,FAQ,17/02/2025,1200,1500,1400
Haryana,Jhajar,Bahadurgarh,Pomegranate,Other,Medium,17/02/2025,11000,12000,11500
Haryana,Jhajar,Bahadurgarh,Tomato,Other,Non-FAQ,17/02/2025,700,850,800
Haryana,Jhajar,Jhajjar,Kinnow,Other,Medium,17/02/2025,3300,3700,3500
Haryana,Jind,Narwana,Onion,Other,FAQ,17/02/2025,2200,2500,2350
Haryana,Jind,Narwana,"Peas Wet","Peas Wet",FAQ,17/02/2025,1500,1800,1650
Haryana,Kaithal,Dhand,Tomato,Deshi,FAQ,17/02/2025,1500,1700,1670
Haryana,Kaithal,Kalayat,Cotton,American,Non-FAQ,17/02/2025,6520,7120,6940
Haryana,Kaithal,Siwan,Brinjal,Other,FAQ,17/02/2025,1100,1250,1200
Haryana,Kaithal,Siwan,Cucumbar(Kheera),Other,FAQ,17/02/2025,1100,1300,1200
Haryana,Kaithal,Siwan,"Green Chilli",Other,FAQ,17/02/2025,4000,4100,4000
Haryana,Kaithal,Siwan,Methi(Leaves),Other,FAQ,17/02/2025,750,850,800
Haryana,Kaithal,Siwan,Tomato,Other,FAQ,17/02/2025,1500,1650,1600
Haryana,Karnal,Gharaunda,Onion,Other,FAQ,17/02/2025,2800,3500,3500
Haryana,Karnal,Indri,Onion,Other,FAQ,17/02/2025,2500,3000,2500
Haryana,Karnal,Indri,Potato,Other,Non-FAQ,17/02/2025,430,430,430
Haryana,Karnal,Indri,Tomato,Other,FAQ,17/02/2025,1000,1000,1000
Haryana,Karnal,"New Grain Market(main), Karnal","Bhindi(Ladies Finger)",Bhindi,FAQ,17/02/2025,6000,6000,6000
Haryana,Karnal,"New Grain Market(main), Karnal","Bottle gourd",Other,FAQ,17/02/2025,1200,1600,1400
Haryana,Karnal,"New Grain Market(main), Karnal",Ginger(Green),"Green Ginger",FAQ,17/02/2025,3800,4000,3900
Haryana,Karnal,"New Grain Market(main), Karnal","Peas Wet",Other,FAQ,17/02/2025,1400,2000,1700
Haryana,Karnal,"New Grain Market(main), Karnal",Raddish,Other,FAQ,17/02/2025,300,600,450
Haryana,Karnal,Tarori,Onion,Other,Non-FAQ,17/02/2025,1200,1800,1500
Haryana,Kurukshetra,Ladwa,Ginger(Dry),Other,FAQ,17/02/2025,4000,5000,4500
Haryana,Kurukshetra,Ladwa,Lemon,Lemon,FAQ,17/02/2025,4000,5000,4500
Haryana,Kurukshetra,Ladwa,Potato,Potato,Non-FAQ,17/02/2025,800,800,800
Haryana,Kurukshetra,Ladwa,Raddish,Raddish,FAQ,17/02/2025,250,300,270
Haryana,Kurukshetra,Pipli,Potato,Other,Non-FAQ,17/02/2025,310,470,400
Haryana,Kurukshetra,Shahabad,Banana,"Banana - Ripe",Medium,17/02/2025,2800,3000,2900
Haryana,Kurukshetra,Shahabad,"Bhindi(Ladies Finger)",Bhindi,FAQ,17/02/2025,6000,6000,6000
Haryana,Kurukshetra,Shahabad,Carrot,Carrot,FAQ,17/02/2025,300,600,400
Haryana,Kurukshetra,Shahabad,Cauliflower,Cauliflower,FAQ,17/02/2025,200,240,220
Haryana,Kurukshetra,Shahabad,Chikoos(Sapota),Sapota,Medium,17/02/2025,4000,5780,4500
Haryana,Kurukshetra,Shahabad,"Green Chilli","Green Chilly",FAQ,17/02/2025,3500,4200,3800
Haryana,Kurukshetra,Shahabad,"Karbuja(Musk Melon)",Karbhuja,Medium,17/02/2025,4000,4000,4000
Haryana,Kurukshetra,Shahabad,"Mousambi(Sweet Lime)",Mousambi,Medium,17/02/2025,2700,3000,2800
Haryana,Kurukshetra,Shahabad,Mustard,"Yellow (Black)",Non-FAQ,17/02/2025,4710,7070,5450
Haryana,Kurukshetra,Shahabad,"Peas Wet","Peas Wet",FAQ,17/02/2025,1400,1800,1600
Haryana,Kurukshetra,Shahabad,Raddish,Raddish,FAQ,17/02/2025,300,400,300
Haryana,Kurukshetra,Shahabad,Tomato,Tomato,Non-FAQ,17/02/2025,600,1000,700
Haryana,Mahendragarh-Narnaul,Mohindergarh,Banana,"Banana - Ripe",Medium,17/02/2025,3000,3000,3000
Haryana,Mahendragarh-Narnaul,Mohindergarh,Carrot,Carrot,FAQ,17/02/2025,600,800,800
Haryana,Mahendragarh-Narnaul,Mohindergarh,Cauliflower,Cauliflower,FAQ,17/02/2025,800,1000,1000
Haryana,Mahendragarh-Narnaul,Mohindergarh,Coriander(Leaves),Coriander,FAQ,17/02/2025,1000,1000,1000
Haryana,Mahendragarh-Narnaul,Narnaul,Carrot,Carrot,FAQ,17/02/2025,600,1000,800
Haryana,Mahendragarh-Narnaul,Narnaul,Pomegranate,Pomogranate,Medium,17/02/2025,8000,8000,8000
Haryana,Mahendragarh-Narnaul,Narnaul,Potato,Potato,FAQ,17/02/2025,1200,1200,1200
Haryana,Mahendragarh-Narnaul,Narnaul,Raddish,Raddish,FAQ,17/02/2025,500,1000,800
Haryana,Mahendragarh-Narnaul,Narnaul,"Tender Coconut","Tender Coconut",Medium,17/02/2025,2500,3500,3000
Haryana,Mahendragarh-Narnaul,Narnaul,Tinda,Tinda,FAQ,17/02/2025,1000,2000,1500
Haryana,Mewat,FerozpurZirkha(Nagina),"Bottle gourd",Other,FAQ,17/02/2025,1200,1600,1400
Haryana,Mewat,Punhana,Carrot,Other,FAQ,17/02/2025,500,500,500
Haryana,Mewat,Tauru,Kinnow,Other,Medium,17/02/2025,2500,2500,2500
Haryana,Mewat,Tauru,"Water Melon",Other,Medium,17/02/2025,1500,1500,1500
Haryana,Panchkula,Barwala,Cucumbar(Kheera),Other,FAQ,17/02/2025,2000,2000,2000
Haryana,Panchkula,Barwala,Potato,Other,FAQ,17/02/2025,700,800,750
Haryana,Panchkula,Panchkul(Kalka),Apple,Apple,Large,17/02/2025,8500,9500,9000
Haryana,Panchkula,"Raipur Rai",Ginger(Green),"Green Ginger",FAQ,17/02/2025,3000,3500,3000
Haryana,Panchkula,"Raipur Rai",Raddish,Other,FAQ,17/02/2025,300,400,300
Haryana,Panchkula,"Raipur Rai",Tomato,Other,FAQ,17/02/2025,1500,1800,1500
Haryana,Panipat,Samalkha,Brinjal,Brinjal,FAQ,17/02/2025,1000,1000,1000
Haryana,Panipat,Samalkha,Methi(Leaves),Methi,FAQ,17/02/2025,600,800,800
Haryana,Rewari,Kosli,Cabbage,Other,FAQ,17/02/2025,1500,1500,1500
Haryana,Rewari,Kosli,Potato,Other,FAQ,17/02/2025,1200,1200,1200
Haryana,Rewari,Kosli,Raddish,Other,FAQ,17/02/2025,500,500,500
Haryana,Rewari,Rewari,Banana,Other,Medium,17/02/2025,1500,2500,2000
Haryana,Rohtak,Meham,Grapes,Other,Medium,17/02/2025,5000,5000,5000
Haryana,Rohtak,Meham,Onion,Other,FAQ,17/02/2025,1700,2000,1800
Haryana,Rohtak,Rohtak,Onion,Other,FAQ,17/02/2025,1500,2500,2000
Haryana,Rohtak,Sampla,Grapes,Other,Large,17/02/2025,7000,7000,7000
Haryana,Sirsa,kalanwali,Onion,Other,FAQ,17/02/2025,3000,3000,3000
